agentA,agentB,winner,turns,avg_turn_time_A,avg_turn_time_B,initial_unit_count_team1,initial_unit_count_team2,alive1,alive2,max_hp_team1,max_hp_team2,hp1,hp2
MCTS_default,MCTS_fast,,30,1.9944874766666847,0.798600839999987,4,4,3,3,395,355,48,89
MCTS_default,MCTS_fast,,30,2.0297431933334336,0.8046266566666418,5,4,3,1,575,425,240,21
MCTS_default,NEATAgent,2,28,1.780342510714263,0.08130631111102789,4,3,0,1,365,270,0,64
MCTS_default,NEATAgent,,30,2.026121980000092,0.06428536333332886,5,4,2,2,570,370,102,89
MCTS_default,MCTS_deep,,30,1.8053260833333904,3.6222235233333473,4,4,1,2,395,430,11,96
MCTS_default,MCTS_deep,,30,1.9779417566666477,3.916407816666621,4,4,3,2,390,420,120,49
MCTS_default,Minimax_default,,30,1.878713940000004,1.560338196666756,4,4,1,3,410,405,1,107
MCTS_default,Minimax_default,,30,1.9448033800000304,2.5671179000000546,4,3,4,1,410,270,201,18
MCTS_default,Minimax_deep,,30,1.9393772399999762,5.584578276666677,4,4,1,3,420,410,17,82
MCTS_default,Minimax_wide,,30,1.9551930333333378,4.072934813333389,4,4,1,3,445,325,1,142
MCTS_default,Minimax_deep,,30,1.9406297666666432,6.912015210000058,4,4,3,3,325,365,135,144
MCTS_fast,MCTS_default,,30,0.7639835533334007,2.026396046666681,4,4,2,2,410,420,63,62
MCTS_fast,MCTS_default,,30,0.8123225233333263,2.058200773333313,5,4,4,2,575,415,277,121
MCTS_fast,NEATAgent,2,21,0.7315493571428046,0.11713656190472864,4,4,0,4,325,370,0,200
MCTS_fast,NEATAgent,,30,0.6691483866666507,0.10052865666666548,4,4,1,4,280,320,2,148
MCTS_default,Minimax_wide,,30,2.053181160000016,7.049085583333271,5,3,5,1,570,270,376,4
MCTS_fast,MCTS_deep,,30,0.7725817433332547,3.6329368533333155,4,4,4,1,325,325,195,1
MCTS_fast,MCTS_deep,,30,0.8130544733332802,4.073770750000009,4,5,2,3,280,555,127,205
MCTS_fast,Minimax_default,,30,0.7746028633333177,2.1751669666666205,4,5,3,3,365,560,186,221
MCTS_fast,Minimax_default,,30,0.7847039433333217,2.557016843333319,4,4,2,3,435,410,84,132
MCTS_fast,Minimax_wide,,30,0.7287926166666087,3.368038373333305,3,5,1,5,270,560,3,382
MCTS_fast,Minimax_deep,,30,0.7370476999999482,6.712070013333414,4,4,1,3,420,325,1,123
MCTS_fast,Minimax_wide,,30,0.7526327899999463,4.241401079999893,4,4,1,3,435,325,1,134
MCTS_fast,Minimax_deep,,30,0.7209792300000724,6.056790493333301,3,4,1,3,300,355,1,128
MCTS_deep,MCTS_fast,,30,3.7735406666666678,0.7751131433332982,3,4,1,4,300,405,1,237
MCTS_deep,MCTS_default,,30,4.097299766666675,2.0570706066665783,4,4,3,3,405,280,56,94
MCTS_deep,MCTS_default,,30,4.104489286666679,2.0460130999998,4,4,2,3,320,400,62,102
MCTS_deep,MCTS_fast,,30,3.869344423333162,0.7942362366666506,4,4,1,3,370,280,3,144
MCTS_deep,NEATAgent,,30,3.9060572800000957,0.09705391000012847,4,4,1,2,355,395,30,121
MCTS_deep,NEATAgent,,30,4.006835446666567,0.10654945666683488,4,4,2,3,365,390,39,151
MCTS_deep,Minimax_default,,30,4.0900003533332585,2.657332089999909,4,4,1,4,350,325,12,185
MCTS_deep,Minimax_default,,30,4.314645313333616,2.8090827800002445,4,5,2,4,355,560,103,276
MCTS_deep,Minimax_deep,,30,4.026290163333337,7.249090549999892,4,4,2,2,325,420,53,168
NEATAgent,MCTS_default,1,19,0.096960047368396,1.9916271842103972,4,4,4,0,365,420,199,0
MCTS_deep,Minimax_wide,,30,3.9709992199997943,4.058766296666423,4,4,2,2,435,420,99,80
MCTS_deep,Minimax_wide,,30,3.915859959999883,4.282262776666721,4,4,3,2,365,420,157,99
MCTS_deep,Minimax_deep,,30,4.126389930000005,7.210640236666707,4,4,1,4,420,360,1,134
NEATAgent,MCTS_fast,,30,0.10092053000007581,0.7128935533336214,4,4,3,1,365,325,126,1
