agentA,agentB,winner,turns,avg_turn_time_A,avg_turn_time_B,initial_unit_count_team1,initial_unit_count_team2,alive1,alive2,max_hp_team1,max_hp_team2,hp1,hp2
NEATAgent,MCTS_fast,,30,0.06493423743425714,0.10487045633271919,4,4,1,3,425,320,1,66
NEATAgent,MCTS_deep,1,17,0.09444081352943184,0.3443878215890864,4,4,4,0.1,365,400,259,1
NEATAgent,MCTS_default,,30,0.06367138316660809,0.21830062070075656,4,4,2,2,425,400,42,45
NEATAgent,Minimax_default,,30,0.048588222532756235,0.2771122986666645,4,4,2,2,355,280,8,56
MCTS_default,NEATAgent,2,27,0.2257388285929833,0.06538632434603642,4,4,0.1,2,420,425,1,38
MCTS_default,MCTS_fast,2,24,0.27549170024940395,0.10881327713002026,4,4,0.1,4,420,365,1,186
MCTS_default,Minimax_default,,30,0.238841637433264,0.280269961367109,4,4,1,1,390,435,20,35
MCTS_default,MCTS_deep,,30,0.2709129732000292,0.37972623173409376,4,4,1,3,420,365,37,127
NEATAgent,Minimax_wide,2,24,0.04714072470839407,1.4173484315220064,4,4,0.1,2,370,350,1,71
MCTS_fast,NEATAgent,1,30,0.09008740156617326,0.023857595517444586,4,3,2,0.1,360,270,126,1
NEATAgent,Minimax_deep,,30,0.047016692300045786,1.4485814790673126,4,4,2,2,430,350,13,44
MCTS_fast,MCTS_default,,30,0.10624284836643104,0.21595912443347817,4,4,3,1,400,355,115,1
MCTS_fast,Minimax_default,2,26,0.07915180415315823,0.3106263495190069,4,4,0.1,2,410,410,1,62
MCTS_fast,MCTS_deep,,30,0.11982920203299727,0.3910484957341396,4,4,2,3,420,365,51,75
MCTS_default,Minimax_deep,2,25,0.2603125583200017,1.7189756960842715,4,4,0.1,2,420,325,1,92
MCTS_fast,Minimax_wide,2,20,0.0841930628510454,1.0580755400530364,4,4,0.1,3,410,365,1,123
MCTS_deep,NEATAgent,2,23,0.3639772606959172,0.06073391918173663,4,4,0.1,4,430,415,1,224
MCTS_default,Minimax_wide,,30,0.1974846381994818,1.7397950790002747,3,4,1,4,270,420,7,233
MCTS_deep,MCTS_default,2,23,0.3994517836519821,0.3199771832723028,4,5,0.1,5,425,565,1,333
MCTS_deep,MCTS_fast,,30,0.3835647939667979,0.09267583129961471,4,4,1,2,420,410,1,139
MCTS_fast,Minimax_deep,,30,0.09657066619959855,1.4553903512001853,4,4,3,1,400,280,51,48
MCTS_deep,Minimax_default,,30,0.3767092528005984,0.2794135296996198,4,3,4,1,410,270,119,8
Minimax_default,NEATAgent,2,22,0.4207352733174048,0.04520519057231944,4,4,0.1,3,430,365,1,113
Minimax_default,MCTS_default,,30,0.2214489876666145,0.2032485194009496,4,4,1,1,325,355,28,3
Minimax_default,MCTS_fast,,30,0.44588033516605113,0.07911338403282571,4,4,3,1,405,405,98,8
Minimax_default,MCTS_deep,,30,0.30988125866570043,0.3041428475337549,4,4,2,1,365,325,100,5
MCTS_deep,Minimax_wide,,30,0.3362362250673565,1.1099831451334468,4,4,1,3,365,435,13,121
MCTS_deep,Minimax_deep,2,22,0.3379078031364109,1.9796494767617245,3,3,0.1,3,270,300,1,102
Minimax_deep,MCTS_default,1,21,1.335844115476426,0.23691856718990797,4,4,4,0.1,320,445,145,1
Minimax_default,Minimax_wide,2,29,0.36687744275871503,1.1724901007148998,4,4,0.1,3,360,405,1,68
Minimax_deep,NEATAgent,,30,1.3512850014665068,0.04195905479985716,4,4,1,1,370,400,3,27
Minimax_default,Minimax_deep,,30,0.3961489858673303,1.728867206400658,4,4,2,2,395,420,45,14
Minimax_deep,MCTS_fast,2,28,1.3338401126789645,0.08646636467944648,4,4,0.1,1,365,415,1,44
Minimax_deep,Minimax_default,2,17,2.1572146339411336,0.4050512606877419,3,4,0.1,4,300,400,1,212
Minimax_wide,NEATAgent,2,22,0.9276864274080171,0.08724045071375301,4,4,0.1,4,440,280,1,191
Minimax_deep,MCTS_deep,1,26,2.398586533269106,0.3968134393074321,4,4,4,0.1,350,425,150,1
Minimax_wide,MCTS_fast,,30,0.6910703693324952,0.09208626369969958,4,4,1,3,390,370,2,102
Minimax_deep,Minimax_wide,,30,1.6132288214328583,1.0931245053000263,4,4,2,2,405,410,7,62
Minimax_wide,MCTS_default,,30,1.566213457299697,0.2518615207343828,5,4,4,1,555,420,230,8
Minimax_wide,MCTS_deep,2,22,1.0662225398637846,0.33695660628498963,3,4,0.1,3,270,370,1,151
Minimax_wide,Minimax_default,,30,1.1943942621990573,0.27975882216681686,5,4,1,2,565,355,2,64
Minimax_wide,Minimax_deep,,30,1.0245510613339623,1.5658020727668676,4,5,1,4,320,565,1,164
