agentA,agentB,winner,turns,avg_turn_time_A,avg_turn_time_B,initial_unit_count_team1,initial_unit_count_team2,alive1,alive2,max_hp_team1,max_hp_team2,hp1,hp2
NEATAgent,MCTS_fast,1,27,0.07798909725897829,0.5544512472220554,4,4,4,0,415,430,128,0
NEATAgent,MCTS_default,1,18,0.053695169999931146,1.3415853944998162,4,4,3,0,370,325,204,0
NEATAgent,Minimax_default,,30,0.02942885993343225,1.044459970200175,4,4,1,1,325,370,34,32
MCTS_default,NEATAgent,,30,1.4444475093667886,0.0284488759335242,4,3,4,1,420,270,88,19
NEATAgent,MCTS_deep,,30,0.04043868203322442,2.8038452444667805,4,4,1,3,400,365,3,83
NEATAgent,Minimax_deep,,30,0.035257717533022516,3.1463104622667135,4,4,1,1,370,415,10,26
NEATAgent,Minimax_wide,2,18,0.12050865466699179,6.448376820411795,3,4,0,3,300,325,0,130
MCTS_default,MCTS_fast,,30,1.4864244781333886,0.5658156462666132,4,4,3,2,430,395,12,110
MCTS_default,Minimax_default,2,30,1.446162073733285,1.7868589314485093,4,4,0,3,420,395,0,132
MCTS_fast,NEATAgent,2,18,0.5671085606663837,0.10723956205563606,4,4,0,4,280,325,0,88
MCTS_default,MCTS_deep,,30,1.6668268786999154,3.4406935866999144,5,5,4,3,565,570,108,41
MCTS_default,Minimax_wide,,30,1.44577598486685,3.2300301603002786,4,5,1,5,355,560,1,289
MCTS_fast,MCTS_default,,30,0.5783674783994986,1.4808435223334526,4,4,2,2,440,430,51,87
MCTS_fast,Minimax_default,,30,0.5362909267336363,1.2507690557663105,4,4,3,2,365,430,162,25
MCTS_default,Minimax_deep,,30,1.4593829427334033,5.180428549900049,4,5,2,3,370,565,12,162
MCTS_fast,MCTS_deep,,30,0.5591714843000469,2.7965377750999325,4,4,1,2,425,430,35,48
MCTS_fast,Minimax_wide,,30,0.5252607063664375,2.206978524299848,4,4,2,2,370,440,108,2
MCTS_deep,NEATAgent,2,29,2.947637975482613,0.06945592274990174,4,4,0,3,435,360,0,91
MCTS_deep,MCTS_default,,30,3.154449694333501,1.5529948778667555,4,5,3,4,365,555,55,136
MCTS_fast,Minimax_deep,,30,0.5441082481670795,7.105984265866937,4,4,1,4,325,395,1,148
MCTS_deep,MCTS_fast,,30,3.164502038966869,0.6013686896336973,5,4,5,2,555,415,135,49
MCTS_deep,Minimax_default,1,29,2.8606401223794444,1.2775942687586739,4,4,2,0,365,425,51,0
Minimax_default,NEATAgent,2,19,2.6746500967375666,0.11856739063085497,4,5,0,5,280,555,0,329
MCTS_deep,Minimax_deep,2,19,2.953804444841999,4.360016483444472,4,4,0,4,425,370,0,234
Minimax_default,MCTS_fast,1,20,1.3529826753994711,0.5718410963007046,4,4,3,0,370,425,96,0
MCTS_deep,Minimax_wide,2,21,2.9227452807144365,2.5871025058495434,4,4,0,4,415,410,0,228
Minimax_default,MCTS_default,,30,1.6601304141999813,1.5174577355666163,5,4,4,1,570,365,135,47
Minimax_deep,NEATAgent,,30,2.5073850566329687,0.01985785349958557,4,4,1,1,420,355,52,3
Minimax_default,Minimax_wide,,30,1.145775451300142,2.023163044166237,4,4,1,2,355,435,46,48
Minimax_default,Minimax_deep,,30,1.0936676356331494,3.0504419195662194,4,4,2,1,400,425,17,36
Minimax_default,MCTS_deep,,30,1.8299179976664164,3.003018662666606,4,5,1,4,430,565,2,249
Minimax_deep,MCTS_default,1,15,4.769444435199693,1.4427663839334854,4,3,4,0,365,300,256,0
Minimax_deep,MCTS_fast,1,20,5.164674550949894,0.5391842472499775,4,4,4,0,325,325,124,0
Minimax_deep,Minimax_default,2,15,4.590602525666812,1.5270653139996284,3,4,0,4,300,410,0,303
Minimax_deep,MCTS_deep,,30,3.4061401517335375,2.727074379867069,4,4,1,2,420,410,31,142
Minimax_wide,NEATAgent,,30,3.174569036933705,0.02829970839981494,4,4,2,1,425,425,42,6
Minimax_wide,MCTS_default,1,20,2.7287173445994997,1.4221904436997648,4,4,4,0,365,400,176,0
Minimax_wide,MCTS_fast,2,25,2.9010123135997854,0.5818202013750428,4,4,0,3,415,365,0,124
Minimax_deep,Minimax_wide,2,24,5.017698525791275,3.847559286131044,4,4,0,2,420,395,0,120
Minimax_wide,Minimax_default,2,25,3.2778237416397316,1.6636314296250323,4,4,0,2,410,405,0,115
Minimax_wide,Minimax_deep,1,12,3.8633738624166654,3.5535889864161923,5,3,5,0,570,300,411,0
Minimax_wide,MCTS_deep,,30,3.2072133140334094,2.9516193725328774,4,4,3,1,415,365,27,46
