agentA,agentB,winner,turns,avg_turn_time_A,avg_turn_time_B,initial_unit_count_team1,initial_unit_count_team2,alive1,alive2,max_hp_team1,max_hp_team2,hp1,hp2
MCTS_default,NEATAgent,2,25,2.676988411999773,0.14486480000232405,4,4,0,4,355,365,0,145
MCTS_default,NEATAgent,,30,2.5321687500011953,0.13696856666647364,4,4,1,4,325,370,1,161
MCTS_default,MCTS_fast,,30,2.7842748900007184,1.0691512433351211,4,4,1,2,420,395,32,89
MCTS_default,MCTS_fast,,30,3.160835089998727,1.1485107866702795,5,4,4,1,555,425,255,37
MCTS_default,Minimax_default,2,23,2.938281243479097,2.37409120909367,4,4,0,4,370,410,0,142
MCTS_default,Minimax_default,,30,2.682474946665752,2.9581110733323537,3,4,1,3,270,355,1,138
MCTS_default,MCTS_deep,,30,2.900752123334193,6.019172790000933,4,4,2,3,365,320,29,132
MCTS_default,MCTS_deep,,30,3.0733255033342477,6.363919666665606,4,4,3,2,350,360,55,53
MCTS_default,Minimax_deep,2,26,2.945988561539987,8.27065005200042,4,4,0,3,415,350,0,157
MCTS_fast,MCTS_default,,30,1.3059159699997205,3.3406937400014916,4,5,4,3,365,570,179,41
MCTS_fast,MCTS_default,,30,1.1924773033329985,3.061504509999456,4,4,3,2,410,365,113,50
MCTS_default,Minimax_wide,2,19,3.0662427789471907,5.976761933336901,4,4,0,4,395,355,0,219
MCTS_default,Minimax_deep,2,26,2.9501122076936346,8.614033672001678,4,4,0,4,420,370,0,225
MCTS_default,Minimax_wide,,30,3.0001302900006217,5.377910543334535,4,4,1,3,405,425,1,44
MCTS_fast,NEATAgent,,30,0.9782705566676062,0.07618067666577796,4,4,1,3,425,350,6,222
MCTS_fast,NEATAgent,,30,1.1092347666660014,0.10859752333344659,4,4,1,2,410,325,31,48
MCTS_fast,Minimax_default,2,13,1.2022310538472643,4.011704483335052,3,4,0,4,300,425,0,237
MCTS_fast,Minimax_default,,30,1.1833200333324687,2.914422063334981,4,4,3,1,410,440,166,40
MCTS_fast,MCTS_deep,1,18,1.2416930111139663,6.485503605555601,4,4,4,0,370,425,181,0
MCTS_fast,MCTS_deep,,30,1.2028330933331746,6.420526396666052,4,4,4,1,415,420,174,10
MCTS_fast,Minimax_deep,,30,1.1560358433319682,6.145829556668469,4,4,1,2,400,395,11,61
MCTS_fast,Minimax_wide,,30,1.0684792433317247,6.300255903333406,3,4,1,4,270,350,1,154
MCTS_fast,Minimax_deep,,30,1.050246193332229,9.507097166667032,4,4,1,4,320,360,2,137
MCTS_fast,Minimax_wide,1,22,1.3576557454540639,9.492579557145032,5,4,5,0,565,420,272,0
MCTS_deep,MCTS_fast,2,20,5.806455420002021,1.18052263684436,4,4,0,4,320,325,0,185
